game,ply,side_to_move,chosen_idx,n_legal,n_empties,i_move_bits,log2_m_bits,p_chosen,total_raw_count,chosen_raw_count,in_book,chosen_in_book,a1_minus_energy
0,0,1,19,4,60,4.0,2.0,0.25,246196,61549,1,1,0.0
0,1,-1,34,3,59,2.2346638063499955,1.584962500721156,0.6374122693007538,61549,39233,1,1,1.1249999999999998
0,2,1,45,5,58,3.163512262897709,2.321928094887362,0.5580304806565064,39233,21895,1,1,0.0
0,3,-1,37,4,57,2.103144733480561,2.0,0.9310014155897529,21895,20387,1,1,1.2500000000000002
0,4,1,44,6,56,2.6054103945613796,2.584962500721156,0.985926569808353,24153,23818,1,1,0.37499999999999994
0,5,-1,20,6,55,2.6477749628479907,2.584962500721156,0.9573959032907992,23818,22808,1,1,1.2500000000000002
0,6,1,18,11,54,4.404483371249184,3.4594316186372973,0.5194109189142085,22940,11920,1,1,0.37499999999999994
0,7,-1,21,7,53,3.46353247264359,2.807354922057604,0.6345573440643864,11921,7568,1,1,2.125
0,8,1,26,11,52,3.6702456951008102,3.4594316186372973,0.8640495323409301,7580,6558,1,1,0.37499999999999994
0,9,-1,25,7,51,2.8445289407221797,2.807354922057604,0.9745620715917745,6558,6397,1,1,1.2500000000000002
0,10,1,33,11,50,4.060695931687555,3.4594316186372973,0.6591760299625468,6397,4223,1,1,0.875
0,11,-1,10,12,49,3.887434430938583,3.584962500721156,0.81086186540732,4223,3433,1,1,0.7499999999999999
0,12,1,16,13,48,4.8208795793392705,3.700439718141092,0.4599535693557748,3433,1584,1,1,0.37499999999999994
0,13,-1,17,12,47,3.9282912300642128,3.584962500721156,0.7882205513784462,1584,1257,1,1,1.0
0,14,1,11,11,46,3.698992370791292,3.4594316186372973,0.8470031545741324,1257,1073,1,1,1.375
0,15,-1,12,9,45,4.5840738680839515,3.169925001442312,0.3752310536044362,1073,405,1,1,3.5
0,16,1,5,14,44,4.473767236398502,3.807354922057604,0.630071599045346,405,263,1,1,2.3749999999999996
0,17,-1,13,11,43,5.674820652235983,3.4594316186372973,0.21532846715328466,263,58,1,1,3.2499999999999996
0,18,1,3,13,42,4.068827124121115,3.700439718141092,0.7746478873239436,58,54,1,1,3.375
0,19,-1,40,9,41,3.4192844703790293,3.169925001442312,0.8412698412698413,54,52,1,1,4.0
0,20,1,6,13,40,5.400879436282184,3.700439718141092,0.3076923076923077,52,19,1,1,3.1250000000000004
0,21,-1,43,7,39,3.1858665453113337,2.807354922057604,0.7692307692307693,19,19,1,1,1.7500000000000002
0,22,1,51,15,38,4.994353436858859,3.9068905956085187,0.47058823529411764,19,15,1,1,1.875
0,23,-1,52,6,37,3.807354922057604,2.584962500721156,0.42857142857142855,15,8,1,1,2.9999999999999996
0,24,1,4,18,36,5.870364719583405,4.169925001442312,0.3076923076923077,8,7,1,1,0.875
0,25,-1,38,10,35,6.78135971352466,3.321928094887362,0.09090909090909091,12,1,1,1,1.7500000000000002
0,26,1,22,17,34,8.257387842692651,4.087462841250339,0.05555555555555555,1,0,1,0,1.375
0,27,-1,24,7,33,5.614709844115208,2.807354922057604,0.14285714285714285,0,0,0,0,1.2500000000000002
0,28,1,29,13,32,7.507794640198696,3.700439718141092,0.07142857142857142,1,0,1,0,0.875
0,29,-1,30,9,31,6.339850002884624,3.169925001442312,0.1111111111111111,0,0,0,0,5.25
0,30,1,47,13,30,7.400879436282184,3.700439718141092,0.07692307692307693,0,0,0,0,1.1249999999999998
0,31,-1,39,12,29,7.169925001442312,3.584962500721156,0.08333333333333333,0,0,0,0,1.4999999999999998
0,32,1,31,12,28,7.169925001442312,3.584962500721156,0.08333333333333333,0,0,0,0,1.875
0,33,-1,2,10,27,6.643856189774724,3.321928094887362,0.1,0,0,0,0,2.5000000000000004
0,34,1,1,10,26,6.643856189774724,3.321928094887362,0.1,0,0,0,0,2.625
0,35,-1,58,10,25,6.643856189774724,3.321928094887362,0.1,0,0,0,0,4.499999999999999
0,36,1,61,8,24,6.0,3.0,0.125,0,0,0,0,5.375
0,37,-1,59,11,23,6.918863237274595,3.4594316186372973,0.09090909090909091,0,0,0,0,4.499999999999999
0,38,1,53,6,22,5.169925001442312,2.584962500721156,0.16666666666666666,0,0,0,0,5.375
0,39,-1,46,9,21,6.339850002884624,3.169925001442312,0.1111111111111111,0,0,0,0,9.499999999999998
0,40,1,60,6,20,5.169925001442312,2.584962500721156,0.16666666666666666,0,0,0,0,7.375
0,41,-1,62,8,19,6.0,3.0,0.125,0,0,0,0,6.499999999999999
0,42,1,42,5,18,4.643856189774724,2.321928094887362,0.2,0,0,0,0,4.125000000000001
0,43,-1,23,7,17,5.614709844115208,2.807354922057604,0.14285714285714285,0,0,0,0,5.875000000000001
0,44,1,15,7,16,5.614709844115208,2.807354922057604,0.14285714285714285,0,0,0,0,4.750000000000001
0,45,-1,54,7,15,5.614709844115208,2.807354922057604,0.14285714285714285,0,0,0,0,5.125000000000001
0,46,1,50,6,14,5.169925001442312,2.584962500721156,0.16666666666666666,0,0,0,0,3.375
0,47,-1,41,6,13,5.169925001442312,2.584962500721156,0.16666666666666666,0,0,0,0,2.0000000000000004
0,48,1,32,8,12,6.0,3.0,0.125,0,0,0,0,5.375
0,49,-1,8,3,11,3.169925001442312,1.584962500721156,0.3333333333333333,0,0,0,0,5.749999999999999
0,50,1,48,7,10,5.614709844115208,2.807354922057604,0.14285714285714285,0,0,0,0,2.875
0,51,-1,56,4,9,4.0,2.0,0.25,0,0,0,0,2.75
0,52,1,57,6,8,5.169925001442312,2.584962500721156,0.16666666666666666,0,0,0,0,2.5000000000000004
0,53,-1,49,3,7,3.169925001442312,1.584962500721156,0.3333333333333333,0,0,0,0,3.6250000000000004
